Date,Open,High,Low,Close,Volume,Adj Close
2016-12-30,103.010002,103.480003,102.779999,103.040001,1699500,103.040001
2016-12-29,103.239998,103.940002,103.029999,103.209999,2130300,103.209999
2016-12-28,103.449997,104.330002,103.150002,103.410004,2745300,103.410004
2016-12-27,103.110001,104.120003,103.110001,103.900002,1752700,103.30
2016-12-23,103.00,103.309998,102.75,103.120003,1003800,102.524506
2016-12-22,103.010002,103.330002,102.739998,103.089996,1858600,102.494673
2016-12-21,103.540001,103.540001,102.699997,103.089996,1907500,102.494673
2016-12-20,102.760002,104.099998,102.279999,103.639999,2093100,103.0415
2016-12-19,101.50,103.00,101.400002,102.25,1849000,101.659527
2016-12-16,100.900002,102.489998,100.900002,101.760002,3717800,101.172359
2016-12-15,100.550003,101.830002,100.050003,101.400002,2751000,100.814437
2016-12-14,101.290001,101.480003,100.349998,100.550003,2140800,99.969347
2016-12-13,102.190002,102.410004,101.190002,101.330002,2605900,100.744842
2016-12-12,103.010002,103.650002,102.330002,102.419998,1712500,101.828544
2016-12-09,103.230003,103.82,102.760002,103.620003,3164300,103.021618
2016-12-08,102.57,104.769997,102.300003,103.919998,4334100,103.319881
2016-12-07,102.449997,103.230003,102.029999,102.860001,4921100,102.266005
2016-12-06,100.839996,103.00,100.660004,102.519997,3039300,101.927965
2016-12-05,102.32,102.559998,101.040001,101.290001,3462100,100.705072
2016-12-02,102.040001,102.449997,101.099998,101.50,3282400,100.913858
2016-12-01,100.949997,103.040001,100.150002,102.699997,6152300,102.106925
2016-11-30,100.559998,102.080002,100.199997,100.199997,5146400,99.621362
2016-11-29,100.709999,101.110001,99.839996,100.349998,5902400,99.770498
2016-11-28,103.489998,103.709999,101.690002,101.699997,4903500,101.1127
2016-11-25,101.68,104.830002,100.800003,103.919998,6584700,103.319881
2016-11-23,99.529999,102.50,98.57,102.169998,20485400,101.579987
2016-11-22,92.75,93.139999,91.839996,92.010002,5414000,91.478663
2016-11-21,92.25,92.400002,91.330002,92.300003,2756100,91.766989
2016-11-18,91.690002,92.190002,91.529999,91.959999,2398500,91.428949
2016-11-17,91.269997,92.040001,90.989998,91.769997,1954200,91.240044
2016-11-16,90.860001,91.519997,90.75,91.25,1725500,90.72305
2016-11-15,91.339996,91.559998,90.839996,91.25,2368400,90.72305
2016-11-14,90.970001,92.00,90.970001,91.620003,2727800,91.090916
2016-11-11,90.470001,91.150002,89.690002,91.099998,3176800,90.573915
2016-11-10,90.589996,91.830002,89.959999,90.699997,3479300,90.176223
2016-11-09,89.540001,92.989998,89.169998,90.110001,7834700,89.589634
2016-11-08,88.790001,89.559998,88.610001,88.989998,1915300,88.476099
2016-11-07,89.00,89.779999,88.230003,89.00,2572300,88.486043
2016-11-04,88.269997,88.529999,87.68,88.059998,1974200,87.551469
2016-11-03,88.129997,88.580002,87.870003,88.300003,2201100,87.790089
2016-11-02,87.860001,88.690002,87.849998,88.160004,3101700,87.650898
2016-11-01,88.120003,88.43,87.379997,88.089996,2998300,87.581295
2016-10-31,87.919998,88.849998,87.800003,88.300003,2536400,87.790089
2016-10-28,87.18,87.599998,86.669998,87.169998,2483100,86.666609
2016-10-27,87.489998,87.599998,86.690002,87.00,1998000,86.497593
2016-10-26,85.879997,87.470001,85.620003,87.040001,2192600,86.537363
2016-10-25,86.330002,87.489998,86.220001,86.519997,2039000,86.020361
2016-10-24,86.809998,87.190002,86.18,86.699997,1323400,86.199322
2016-10-21,85.449997,86.50,85.269997,86.43,1394900,85.930885
2016-10-20,86.389999,86.449997,85.330002,86.110001,1951800,85.612733
2016-10-19,86.50,86.93,85.949997,86.559998,1915300,86.060131
2016-10-18,87.120003,87.120003,85.809998,86.610001,1882000,86.109846
2016-10-17,86.43,86.730003,86.300003,86.470001,1118700,85.970655
2016-10-14,86.879997,87.290001,86.339996,86.400002,1800700,85.901059
2016-10-13,86.449997,86.769997,86.120003,86.339996,2437100,85.8414
2016-10-12,87.129997,87.620003,86.599998,86.940002,2167700,86.437942
2016-10-11,87.18,87.790001,86.57,87.050003,2008100,86.547307
2016-10-10,87.419998,89.339996,87.300003,87.489998,3719800,86.984761
2016-10-07,85.279999,86.669998,85.120003,86.300003,2922700,85.801638
2016-10-06,85.129997,86.019997,85.050003,85.290001,2029200,84.797469
2016-10-05,85.00,85.779999,84.510002,85.120003,1782800,84.628452
2016-10-04,85.550003,86.239998,84.650002,84.699997,2126300,84.210872
2016-10-03,84.610001,85.800003,84.239998,85.349998,2679600,84.85712
2016-09-30,84.220001,85.489998,84.18,85.349998,3157800,84.85712
2016-09-29,84.089996,84.910004,83.470001,83.860001,2725500,83.375726
2016-09-28,82.720001,84.169998,82.699997,84.089996,3389500,83.604394
2016-09-27,83.220001,83.550003,82.800003,83.050003,2797900,81.973872
2016-09-26,83.269997,83.830002,83.199997,83.580002,3409600,82.497003
2016-09-23,83.769997,84.150002,83.18,83.339996,2561300,82.260107
2016-09-22,83.389999,84.239998,83.190002,84.160004,2790600,83.069489
2016-09-21,82.839996,83.190002,82.330002,83.050003,2020100,81.973872
2016-09-20,82.599998,83.360001,82.260002,82.470001,1918200,81.401385
2016-09-19,82.290001,82.709999,81.889999,82.110001,2073700,81.046049
2016-09-16,81.199997,82.07,80.690002,81.949997,3596000,80.888119
2016-09-15,80.779999,81.779999,80.43,81.610001,2149400,80.552528
2016-09-14,80.940002,81.419998,80.349998,80.57,2452900,79.526003
2016-09-13,82.400002,82.709999,80.849998,81.089996,3166300,80.039262
2016-09-12,82.019997,83.660004,81.769997,83.089996,3635300,82.013347
2016-09-09,83.199997,83.360001,82.209999,82.230003,3112100,81.164497
2016-09-08,83.870003,83.980003,83.25,83.580002,2234600,82.497003
2016-09-07,84.199997,84.400002,83.769997,84.019997,2186600,82.931296
2016-09-06,83.93,84.639999,83.82,84.470001,2906700,83.37547
2016-09-02,83.949997,84.190002,83.739998,84.050003,2071200,82.960914
2016-09-01,84.50,84.82,83.379997,83.550003,2996600,82.467393
2016-08-31,85.489998,85.489998,83.919998,84.550003,4440300,83.454435
2016-08-30,87.00,87.050003,85.510002,85.720001,2918900,84.609273
2016-08-29,86.660004,87.050003,86.349998,86.93,2007600,85.803593
2016-08-26,87.330002,87.989998,86.589996,86.739998,3031600,85.616053
2016-08-25,87.290001,87.699997,86.93,87.290001,3044600,86.158929
2016-08-24,87.860001,88.43,87.349998,87.419998,3796000,86.287242
2016-08-23,88.400002,88.629997,87.260002,88.089996,5280000,86.948559
2016-08-22,86.900002,88.43,86.599998,87.959999,7998100,86.820246
2016-08-19,76.940002,88.089996,76.940002,87.32,23735600,86.188539
2016-08-18,77.160004,77.669998,76.730003,76.940002,4041200,75.943042
2016-08-17,78.00,78.309998,77.239998,77.43,2764600,76.426691
2016-08-16,78.190002,78.419998,77.739998,78.150002,1947400,77.137363
2016-08-15,77.150002,78.650002,76.959999,78.279999,2667300,77.265675
2016-08-12,77.989998,78.230003,76.830002,77.00,3812300,76.002262
2016-08-11,78.290001,78.470001,77.919998,77.989998,2773000,76.979432
2016-08-10,78.980003,79.190002,77.989998,78.150002,1780500,77.137363
2016-08-09,79.00,79.50,78.389999,78.889999,3067900,77.867772
2016-08-08,78.550003,78.989998,78.410004,78.919998,2698600,77.897382
2016-08-05,78.07,78.830002,77.709999,78.339996,2460100,77.324895
2016-08-04,78.400002,78.760002,77.410004,77.739998,2235500,76.732672
2016-08-03,77.760002,78.610001,77.709999,78.309998,1865300,77.295285
2016-08-02,77.360001,77.940002,77.360001,77.699997,3483400,76.693189
2016-08-01,77.75,77.980003,77.18,77.690002,1898600,76.683324
2016-07-29,77.269997,78.18,77.129997,77.709999,3753900,76.703061
2016-07-28,78.480003,78.559998,77.809998,78.169998,4712400,77.1571
2016-07-27,79.360001,79.50,78.389999,78.449997,2496500,77.433471
2016-07-26,78.68,79.989998,78.559998,78.989998,4139800,77.966474
2016-07-25,79.029999,79.099998,76.870003,77.919998,7436300,76.910339
2016-07-22,82.199997,82.199997,79.839996,80.120003,4753500,79.081837
2016-07-21,83.059998,83.620003,82.110001,82.220001,3083900,81.154625
2016-07-20,83.040001,83.459999,82.75,82.809998,2297600,81.736976
2016-07-19,82.82,83.32,82.470001,83.260002,2487600,82.18115
2016-07-18,83.209999,83.919998,81.959999,83.82,2489100,82.733891
2016-07-15,83.959999,83.959999,82.879997,83.410004,2774600,82.329207
2016-07-14,83.580002,84.650002,83.389999,83.639999,3588100,82.556223
2016-07-13,82.68,83.519997,82.43,82.959999,2772600,81.885034
2016-07-12,81.290001,82.639999,80.379997,82.419998,3866600,81.35203
2016-07-11,80.970001,81.400002,80.489998,80.989998,2314700,79.940559
2016-07-08,80.220001,81.089996,80.00,80.970001,1974900,79.920822
2016-07-07,79.650002,80.169998,79.040001,79.370003,2167500,78.341555
2016-07-06,79.050003,79.489998,78.25,79.470001,2387300,78.440258
2016-07-05,80.260002,80.529999,78.610001,79.169998,2990700,78.144142
2016-07-01,81.220001,81.379997,80.339996,80.900002,2734300,79.851729
2016-06-30,81.889999,81.949997,79.830002,81.040001,4921400,79.989914
2016-06-29,82.029999,82.279999,80.550003,81.510002,2821400,80.453825
2016-06-28,80.93,81.849998,80.040001,81.379997,2537900,80.325505
2016-06-27,81.330002,81.370003,79.779999,80.580002,3361800,78.943649
2016-06-24,81.580002,83.160004,81.400002,81.720001,4897600,80.060498
2016-06-23,84.93,84.949997,83.529999,84.290001,2285000,82.578308
2016-06-22,84.559998,84.849998,83.889999,83.919998,2177600,82.215819
2016-06-21,85.389999,85.400002,84.040001,84.089996,3536100,82.382365
2016-06-20,86.760002,86.989998,85.459999,85.589996,3069700,83.851905
2016-06-17,85.639999,86.540001,85.449997,86.00,3526100,84.253582
2016-06-16,84.309998,85.309998,83.150002,85.120003,2075500,83.391455
2016-06-15,85.559998,85.779999,84.739998,84.830002,1466000,83.107343
2016-06-14,85.00,85.389999,83.639999,85.150002,3168100,83.420845
2016-06-13,85.639999,86.870003,85.300003,85.32,2771500,83.587391
2016-06-10,86.059998,86.489998,85.099998,85.669998,3538300,83.930282
2016-06-09,86.290001,87.160004,85.959999,86.949997,1802200,85.184287
2016-06-08,87.970001,88.199997,86.419998,87.18,3511300,85.40962
2016-06-07,87.279999,87.849998,87.050003,87.309998,2455800,85.536977
2016-06-06,85.75,87.809998,85.699997,87.480003,4967700,85.703531
2016-06-03,84.870003,86.199997,84.800003,85.57,4233400,83.832314
2016-06-02,82.730003,84.139999,82.419998,84.059998,2830800,82.352976
2016-06-01,81.959999,83.010002,81.349998,82.830002,2452000,81.147958
2016-05-31,82.099998,83.120003,81.860001,82.290001,6380000,80.618923
2016-05-27,80.199997,80.50,79.82,80.50,1743800,78.865272
2016-05-26,80.839996,81.080002,80.120003,80.269997,2501000,78.639939
2016-05-25,80.18,80.879997,79.949997,80.489998,2923600,78.855473
2016-05-24,78.989998,79.730003,78.410004,79.639999,3377600,78.022735
2016-05-23,77.50,79.169998,77.25,77.879997,4604000,76.298474
2016-05-20,80.800003,80.949997,77.50,77.739998,12350200,76.161317
2016-05-19,82.18,83.339996,81.68,82.25,5062000,80.579734
2016-05-18,82.849998,83.110001,81.919998,82.599998,2672600,80.922625
2016-05-17,83.660004,84.25,82.580002,83.199997,2537400,81.510439
2016-05-16,82.709999,84.139999,82.709999,83.629997,2302900,81.931708
2016-05-13,83.800003,84.290001,82.279999,82.470001,2425200,80.795268
2016-05-12,84.260002,84.93,82.57,84.150002,3936300,82.441152
2016-05-11,83.650002,84.949997,83.019997,83.900002,3344400,82.196229
2016-05-10,80.910004,84.379997,80.610001,83.809998,5948000,82.108053
2016-05-09,81.040001,81.120003,80.019997,80.580002,1649200,78.943649
2016-05-06,80.739998,81.699997,80.589996,81.449997,1257600,79.795977
2016-05-05,82.230003,82.300003,80.769997,81.199997,2868500,79.551054
2016-05-04,83.220001,83.489998,81.760002,82.18,1697300,80.511156
2016-05-03,83.550003,83.849998,82.529999,83.400002,1935200,81.706382
2016-05-02,84.169998,84.93,83.480003,84.290001,1829300,82.578308
2016-04-29,83.529999,84.639999,83.400002,84.110001,2111900,82.401963
2016-04-28,84.129997,85.339996,83.50,83.93,2167000,82.225618
2016-04-27,84.07,85.239998,83.559998,84.709999,2876700,82.989778
2016-04-26,82.93,83.989998,82.75,83.419998,2096200,81.725973
2016-04-25,82.610001,82.75,81.360001,82.410004,2153500,80.736489
2016-04-22,82.949997,83.459999,82.699997,82.800003,2087400,81.118568
2016-04-21,84.489998,84.940002,82.400002,82.800003,4038200,81.118568
2016-04-20,82.269997,84.940002,81.699997,84.260002,6474400,82.548919
2016-04-19,78.75,82.629997,78.669998,82.360001,7015500,80.687501
2016-04-18,77.440002,78.480003,76.809998,78.32,2242100,76.729541
2016-04-15,77.660004,78.209999,77.360001,77.440002,2536900,75.867414
2016-04-14,78.449997,78.800003,77.480003,77.660004,2356000,76.082948
2016-04-13,76.75,78.529999,76.330002,78.459999,3187100,76.866698
2016-04-12,75.910004,76.940002,75.790001,76.599998,2011500,75.044468
2016-04-11,76.459999,77.160004,75.75,75.75,1668900,74.211731
2016-04-08,76.709999,77.25,75.910004,76.309998,2076200,74.760356
2016-04-07,76.00,76.279999,75.50,76.18,2444600,74.632999
2016-04-06,76.120003,76.529999,75.349998,76.339996,2564100,74.789746
2016-04-05,75.400002,76.629997,75.269997,76.07,2494200,74.525232
2016-04-04,76.279999,76.849998,75.779999,75.900002,2930800,74.358686
2016-04-01,76.260002,76.589996,74.910004,76.50,6396600,74.9465
2016-03-31,80.18,80.360001,76.910004,76.989998,6598000,75.426548
2016-03-30,81.00,81.089996,80.010002,80.120003,2566300,78.492991
2016-03-29,79.139999,80.699997,79.139999,80.50,2301300,78.865272
2016-03-28,80.32,80.57,79.50,80.169998,3158600,77.954158
2016-03-24,80.50,80.580002,80.00,80.239998,3263800,78.022223
2016-03-23,81.910004,82.010002,80.540001,80.839996,1911600,78.605638
2016-03-22,82.389999,82.559998,81.989998,82.260002,1548300,79.986396
2016-03-21,82.779999,83.029999,81.93,82.720001,2373000,80.433681
2016-03-18,83.269997,83.860001,82.459999,82.629997,7184800,80.346164
2016-03-17,81.620003,83.519997,81.269997,83.059998,3513100,80.76428
2016-03-16,80.620003,81.57,80.25,81.410004,2592000,79.159891
2016-03-15,80.970001,81.019997,80.059998,80.650002,3149700,78.420894
2016-03-14,82.610001,83.32,81.519997,81.849998,2822300,79.587724
2016-03-11,83.199997,83.43,82.370003,82.949997,2779500,80.65732
2016-03-10,82.82,82.900002,81.389999,82.379997,2774200,80.103074
2016-03-09,84.150002,84.699997,82.629997,83.040001,2677200,80.744836
2016-03-08,84.839996,85.129997,82.75,83.849998,3212300,81.532446
2016-03-07,84.599998,85.949997,84.260002,85.68,3512800,83.311868
2016-03-04,83.669998,86.07,83.459999,84.879997,4250300,82.533976
2016-03-03,81.769997,83.82,81.449997,83.669998,2860100,81.357421
2016-03-02,80.639999,82.059998,80.160004,81.839996,2508200,79.577999
2016-03-01,80.639999,82.150002,79.50,81.050003,3424900,78.80984
2016-02-29,79.589996,81.349998,79.050003,80.18,4582600,77.963884
2016-02-26,79.870003,80.589996,79.209999,79.470001,2603000,77.273508
2016-02-25,79.209999,79.650002,78.559998,79.599998,1955200,77.399913
2016-02-24,76.690002,79.300003,75.730003,79.00,2922300,76.816498
2016-02-23,78.230003,78.489998,76.919998,77.139999,2911600,75.007906
2016-02-22,77.300003,78.790001,77.199997,78.400002,3372600,76.233083
2016-02-19,76.650002,78.360001,76.50,77.00,8955200,74.871776
2016-02-18,81.410004,81.68,79.18,80.330002,5238200,78.109739
2016-02-17,80.470001,82.230003,80.00,81.43,4992800,79.179335
2016-02-16,78.989998,79.940002,77.739998,79.809998,3703300,77.604108
2016-02-12,77.309998,78.480003,76.75,78.269997,3154100,76.106671
2016-02-11,75.970001,77.139999,75.18,76.410004,3681900,74.298087
2016-02-10,78.57,78.830002,77.07,77.410004,2314100,75.270448
2016-02-09,75.900002,78.599998,75.900002,78.080002,2978700,75.921928
2016-02-08,77.599998,78.849998,75.93,77.07,3622300,74.939841
2016-02-05,78.400002,79.839996,78.099998,78.419998,4154200,76.252527
2016-02-04,75.07,79.040001,75.050003,78.699997,4976300,76.524786
2016-02-03,75.00,75.730003,72.860001,75.410004,2818900,73.325726
2016-02-02,75.599998,75.699997,74.169998,74.580002,2647800,72.518665
2016-02-01,76.230003,77.129997,75.720001,76.800003,2248300,74.677307
2016-01-29,75.379997,77.010002,75.339996,77.010002,4369100,74.881502
2016-01-28,74.699997,75.239998,73.360001,74.809998,2208700,72.742304
2016-01-27,73.599998,75.029999,73.169998,73.629997,2665700,71.594918
2016-01-26,72.019997,73.580002,71.639999,73.57,2338800,71.536579
2016-01-25,73.800003,73.900002,71.699997,71.779999,2633300,69.796052
2016-01-22,74.190002,76.230003,73.650002,74.610001,3177400,72.547835
2016-01-21,71.989998,73.660004,71.190002,73.029999,2731200,71.011503
2016-01-20,71.370003,73.010002,70.160004,72.00,4230200,70.009973
2016-01-19,73.57,73.739998,71.57,72.459999,3913800,70.457258
